"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U701";"REF2025QDDCRQ1";1;"REF2025QDDCRQ1";;;
2;"C701";"C_0805_OEM";1;"C_10uF";;;
3;"R501,R503,R509,R508,R507,R502,R205,R204,R203,R505,R206,R510,R201,R504,R401,R202,R506";"R_0603_1608Metric";17;"R_100";;;
4;"U301";"SOT95P280X145-5N";1;"SN6501DBVT";;;
5;"R404";"R_0603_1608Metric";1;"R_1K";;;
6;"U702,U802";"SOT-23-5";2;"MCP6001";;;
7;"C209,C206,C202,C405,C203,C401";"C_0603_1608Metric";6;"C_0.1uF";;;
8;"R208,R209,R207,R210";"R_0603_1608Metric";4;"R_301";;;
9;"R402";"R_0603_1608Metric";1;"R_10K";;;
10;"J104,J103";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Counter_Clockwise";;;
11;"CR302,CR301";"MBR0520L";2;"MBR0520L";;;
12;"U201";"ADS1222IPWR";1;"ADS1222IPWR";;;
13;"R403";"R_0603_1608Metric";1;"R_120_DNP";;;
14;"D401";"LED_0805_OEM";1;"LED_0805";;;
15;"R704,R801,R705";"R_0603_1608Metric";3;"R_1M";;;
16;"C301,C602,C601,C303";"C_0603_1608Metric";4;"C_1uF";;;
17;"U505,U504,U503,U502,U501";"140357145300";5;"140357145300 ";;;
18;"Y401";"Crystal_SMD_FA238";1;"Crystal_SMD";;;
19;"J401";"Pin_Header_Straight_2x03";1;"CONN_02X03";;;
20;"C204,C201";"C_0603_1608Metric";2;"C_10uF";;;
21;"C210,C208,C205,C207";"C_0603_1608Metric";4;"C_220pF";;;
22;"R702,R703";"R_0603_1608Metric";2;"R_5.1K";;;
23;"C402";"C_0603_1608Metric";1;"C_100pF";;;
24;"J801";"TestPoint_Plated_Hole_D3.0mm";1;"Conn_01x01";;;
25;"J102,J101";"PinHeader_1x07_P2.54mm_Vertical";2;"Conn_01x07";;;
26;"U401";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA16M1";;;
27;"D302,D301";"D_SOD-123";2;"MBR0520";;;
28;"C302,C304";"C_0603_1608Metric";2;"C_4.7uF";;;
29;"R101";"Vishay_WSB";1;"WSBM8518L1000JT";;;
30;"R803";"R_0603_1608Metric";1;"R_11.5k";;;
31;"U402";"SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM";1;"MCP2561-E_SN";;;
32;"U302";"SOT-23-5";1;"TPS76350";;;
33;"C403,C404";"C_0603_1608Metric";2;"C_30pF";;;
34;"U601";"AP7370-33Y-13";1;"AP7370-33Y-13";;;
35;"T301";"760390014";1;"760390014";;;
